No,Company,Symbol,Weight,Price,Chg,% Chg
58,Applied Materials,AMAT,0.3%,228.75,0.28000000000000003,-0.1%
59,Intel,INTC,0.3%,38.280000000000001,0.12,-0.3%
60,AT&T,T,0.3%,25.140000000000001,0.52000000000000002,-2.1%
61,Citigroup,C,0.3%,98.780000000000001,2.0899999999999999,-2.2%
62,BlackRock,BLK,0.3%,1136.63,11.630000000000001,-1.0%
63,NextEra Energy,NEE,0.3%,84.409999999999997,1.1599999999999999,-1.4%
64,Charles Schwab Corporation,SCHW,0.3%,94.420000000000002,-0.17999999999999999,-0.2%
65,Boeing,BA,0.3%,221.34999999999999,3.5800000000000001,-1.6%
66,Booking Holdings,BKNG,0.3%,5146.16,52.689999999999998,-1.0%
67,Verizon,VZ,0.3%,38.82,0.41999999999999998,-1.1%
68,Amphenol,APH,0.3%,133.81999999999999,-1.49,-1.1%
69,GE Vernova,GEV,0.3%,584.38999999999999,-10.76,-1.8%
70,TJX Companies,TJX,0.3%,141.91,-0.48999999999999999,-0.3%
71,Danaher Corporation,DHR,0.3%,223.00999999999999,0.28000000000000003,-0.1%
72,Amgen,AMGN,0.3%,291.75999999999999,-1.1299999999999999,-0.4%
73,KLA Corporation,KLAC,0.2%,1182.82,23.82,-2.1%
74,Texas Instruments,TXN,0.2%,169.13,-3.0600000000000001,-1.8%
75,Accenture,ACN,0.2%,247.65000000000001,-2.1600000000000001,-0.9%
76,Gilead Sciences,GILD,0.2%,120.94,0.20000000000000001,-0.2%
77,Boston Scientific,BSX,0.2%,101.11,-1.28,-1.2%
78,S&P Global,SPGI,0.2%,489.44999999999999,6.75,-1.4%
79,Adobe Inc.,ADBE,0.2%,353.51999999999998,-0.59999999999999998,-0.2%
80,Palo Alto Networks,PANW,0.2%,217.11000000000001,2.0899999999999999,-1.0%
81,Eaton Corporation,ETN,0.2%,376.29000000000002,3.8900000000000001,-1.0%
82,Stryker Corporation,SYK,0.2%,381.79000000000002,-1.27,-0.3%
83,Capital One,COF,0.2%,225.00999999999999,4.9699999999999998,-2.3%
84,Pfizer,PFE,0.2%,24.760000000000002,0.08999999999999999667,-0.4%
85,Honeywell,HON,0.2%,216.13999999999999,-4.5300000000000002,-2.1%
86,Lowe's,LOW,0.2%,242.71000000000001,-1.1599999999999999,-0.5%
87,CrowdStrike,CRWD,0.2%,527.32000000000005,5.3399999999999999,-1.0%
88,Union Pacific Corporation,UNP,0.2%,216.61000000000001,-3.4300000000000002,-1.6%
